order_id,total_sale
1,11397.94
2,1799.97
3,1599.98
4,1499.98
5,4126.99
6,10148.93
7,2387.98
8,1469.97
9,7999.98
10,269.99
11,3539.95
12,7480.97
13,3527.95
14,469.99
15,4397.95
16,2879.95
17,4620.95
18,12769.92
19,7548.98
20,6097.99
21,2247.99
22,1329.97
23,6669.95
24,2897.98
25,4507.95
26,5839.95
27,4769.96
28,10330.94
29,4449.92
30,12377.96
31,9361.96
32,5699.94
33,4599.97
34,7555.98
35,3779.94
36,6320.96
37,1199.98
38,12447.95
39,4269.93
40,4028.98
41,3418.97
42,449
43,1639.96
44,4599.98
45,6609.95
46,429
47,2269.95
48,7762.94
49,539.98
50,2739.95
51,2069.96
52,499.99
53,5739.92
54,2199.97
55,2329.95
56,1199.98
57,1767.97
58,1288.97
59,1877.98
60,4239.95
61,4201.95
62,4409.95
63,2897.97
64,3239.92
65,549.99
66,1599.97
67,5060.93
68,968.98
69,3409.97
70,3048.97
71,2198.97
72,1947.97
73,4569.92
74,1669.97
75,9529.96
76,5232.96
77,2799.95
78,2315.98
79,8327.95
80,1578.98
81,4697.96
82,4361.96
83,2599.97
84,1659.96
85,6248.98
86,7669.93
87,1799.96
88,9148.97
89,2260.97
90,1469.98
91,3780.94
92,1799.99
93,5086.96
94,5670.95
95,8346.96
96,899.98
97,3338.95
98,2008.96
99,10139.92
100,14761.9
101,1099.98
102,799.98
103,8937.95
104,1497.99
105,7361.96
106,968.98
107,988.98
108,3420.95
109,1009.97
110,269.99
111,1369.97
112,4020.93
113,5611.92
114,1839.96
115,718.99
116,599.99
117,1858.96
118,6418.94
119,499.99
120,6206.94
121,10260.91
122,599.99
123,1099.98
124,11499.96
125,429
126,5999.98
127,6828.97
128,10099.92
129,3448.99
130,3241.97
131,7439.94
132,5099.96
133,809.97
134,3295.98
135,4789.96
136,9999.96
137,569.98
138,1669.97
139,1897.99
140,2899.95
141,449
142,5010.96
143,469.99
144,3599.98
145,7680.97
146,5439.92
147,1199.98
148,269.99
149,1639.96
150,6428.96
151,1028.99
152,2679.94
153,3459.96
154,549.99
155,1799.99
156,2225.99
157,10899.97
158,549.99
159,269.99
160,3908.96
161,9369.95
